"p_id","p_url","p_name","p_status","p_brand","p_system","p_addtime","jd_price","p_weight","p_network","p_color","p_CPU","p_screenSize","p_place","p_special","p_tags","p_comment"
1037156336,"http://item.jd.com/1037156336.html","科铭 F669A GSM小迷你手机 学生...","1","","其它","2013-11-02 07:22:40",89,300,"双卡","黑色","","3.0英寸及以下","","儿童手机","外观漂亮(23)
性价比高(16)
信号稳定(13)
支持国产机(12)
通话质量好(10)
功能齐全(10)
铃声大(9)
音质好(8)
后盖很漂亮(8)
系统流畅(7)","全部评价(567)
好评(463)
中评(62)
差评(42)
有晒单(23)"
1064437667,"http://item.jd.com/1064437667.html","百合 C5＋ 天翼电信版 CDMA 学生...","1","","其它","2013-12-11 15:43:30",179,220,"电信2G（CDMA）","其它","","3.0英寸及以下","中国大陆","老人手机","性价比高(4)
屏幕大(3)
字体大(3)
音质好(2)
外观漂亮(2)
信号稳定(2)
支持国产机(1)
通话质量好(1)
待机时间长(1)
反应快(1)","全部评价(70)
好评(66)
中评(1)
差评(3)
有晒单(0)"
1059551332,"http://item.jd.com/1059551332.html","金圣达 A9 GSM 老人手机 双卡双待...","1","","其它","2013-12-23 17:41:29",299,380,"移动2G/联通2G（GSM）","黑色","","4.0-3.1英寸","","老人手机","字体大(4)
通话质量好(4)
反应快(3)
功能齐全(3)
外观漂亮(2)
性价比高(2)
屏幕大(2)
后盖很漂亮(2)
电池耐用(2)
音质好(2)","全部评价(81)
好评(76)
中评(1)
差评(4)
有晒单(5)"
1064391871,"http://item.jd.com/1064391871.html","UU U-818 GSM三防老人手机 黑...","1","","其它","2013-12-11 15:56:50",319,300,"移动2G/联通2G（GSM）","金色","","3.0英寸及以下","","老人手机","性价比高(2)
外观漂亮(2)
功能齐全(2)
支持国产机(2)
铃声大(2)
屏幕大(2)
字体大(2)
信号稳定(1)
反应快(1)","全部评价(35)
好评(32)
中评(2)
差评(1)
有晒单(2)"
1012323191,"http://item.jd.com/1012323191.html","优思US999+ 电信3G手机 CDMA...","1","","Android","2013-09-27 18:22:43",1688,190,"双模（电信＋移动/联通2G）","黑色","","4.0-3.1英寸","中国大陆","翻盖","支持国产机(4)
后盖很漂亮(3)
信号稳定(2)
外观漂亮(1)
屏幕大(1)
通话质量好(1)
分辨率高(1)
铃声大(1)
字体大(1)
照相不错(1)","全部评价(32)
好评(25)
中评(3)
差评(4)
有晒单(1)"
1074408341,"http://item.jd.com/1074408341.html","凯利通I888锋芒 3G智能手机 TD-...","1","","Android","2014-01-09 14:52:50",699,200,"移动3G（TD-SCDMA）","黑色","","5.5-5.0英寸","中国大陆","美颜自拍","音质好(1)
铃声大(1)
后盖很漂亮(1)
照相不错(1)","全部评价(4)
好评(4)
中评(0)
差评(0)
有晒单(0)"
972283,"http://item.jd.com/972283.html","金立E3T","1","金立（Gionee）","Android","2013-09-17 17:18:37",1699,420,"双,双卡,移动2G/联通2G（GSM）,移动3G（TD-SCDMA）","白色","四核CPU","4.9-4.1英寸","中国大陆","美颜自拍","通话质量好(3)
后盖很漂亮(3)
系统流畅(2)
支持国产机(2)
反应快(2)
铃声大(2)
照相不错(2)
功能齐全(1)
音质好(1)
外观漂亮(1)","全部评价(9)
好评(9)
中评(0)
差评(0)
有晒单(0)"
1010830309,"http://item.jd.com/1010830309.html","乐丰K1 GSM双卡双待 儿童手机 银","1","","其它","2014-01-27 12:53:36",99,203,"移动2G/联通2G（GSM）","白色","","3.0英寸及以下","","儿童手机","性价比高(56)
支持国产机(52)
铃声大(45)
外观漂亮(40)
电池耐用(33)
待机时间长(33)
功能齐全(30)
比较一般(25)
信号稳定(22)
反应快(20)","全部评价(4998)
好评(4363)
中评(463)
差评(172)
有晒单(170)"
1071704260,"http://item.jd.com/1071704260.html","恒宇丰988 3G智能手机 TD-SCD...","1","","Android","2014-02-21 14:49:01",589,500,"双卡","黑色","","5.5-5.0英寸","","拍照神器","外观漂亮(3)
支持国产机(2)
性价比高(1)
比较一般(1)
照相不错(1)
功能齐全(1)
音质好(1)
后盖很漂亮(1)
屏幕大(1)
系统流畅(1)","全部评价(26)
好评(23)
中评(2)
差评(1)
有晒单(4)"
1062650938,"http://item.jd.com/1062650938.html","扬新L1600 GSM 老人手机 黑色 ...","1","","其它","2013-12-26 15:10:56",158,500,"移动2G/联通2G（GSM）","黑色","","3.0英寸及以下","中国大陆","老人手机","铃声大(4)
信号稳定(4)
外观漂亮(4)
支持国产机(4)
音质好(3)
功能齐全(3)
性价比高(3)
系统流畅(2)
屏幕大(2)
待机时间长(2)","全部评价(30)
好评(27)
中评(3)
差评(0)
有晒单(1)"
1047676800,"http://item.jd.com/1047676800.html","欧奇 V8 GSM双卡双待 功能手机 黑...","1","","其它","2013-12-03 09:46:40",325,200,"移动2G/联通2G（GSM）","黑色","","3.0英寸及以下","中国大陆","翻盖","待机时间长(6)
支持国产机(3)
性价比高(3)
屏幕大(3)
电池耐用(2)
外观漂亮(2)
铃声大(2)
字体大(1)
音质好(1)
后盖很漂亮(1)","全部评价(14)
好评(12)
中评(0)
差评(2)
有晒单(3)"
1076188007,"http://item.jd.com/1076188007.html","世纪天元C750 双模双待电信天翼CMD...","1","","Android","2014-01-20 18:17:20",399,50,"双模（电信＋移动/联通2G）","黑色","","4.0-3.1英寸","","","性价比高(1)
信号稳定(1)
字体大(1)
电池耐用(1)
分辨率高(1)","全部评价(5)
好评(4)
中评(0)
差评(1)
有晒单(0)"
1043324116,"http://item.jd.com/1043324116.html","微诺 858 GSM 双卡双待 老人手机...","1","","其它","2013-11-26 15:38:14",81,200,"双卡","白色","","3.0英寸及以下","中国大陆","直板键盘","性价比高(15)
铃声大(12)
通话质量好(11)
外观漂亮(9)
信号稳定(8)
电池耐用(8)
待机时间长(6)
字体大(6)
功能齐全(5)
后盖很漂亮(4)","全部评价(312)
好评(276)
中评(21)
差评(15)
有晒单(17)"
1022367583,"http://item.jd.com/1022367583.html","大显 TC258 GSM老人手机 金色","1","","其它","2013-12-02 10:01:40",228,95,"移动2G/联通2G（GSM）","黑色","","3.0英寸及以下","中国大陆","翻盖","铃声大(13)
性价比高(10)
外观漂亮(9)
待机时间长(7)
通话质量好(7)
屏幕大(7)
字体大(7)
音质好(7)
后盖很漂亮(5)
比较一般(4)","全部评价(133)
好评(110)
中评(16)
差评(7)
有晒单(1)"
900104,"http://item.jd.com/900104.html","金立E3","1","金立（Gionee）","Android","2013-06-09 09:58:02",1499,460,"联通3G（WCDMA）,双卡,移动2G/联通2G（GSM）","","","4.9-4.1英寸","中国大陆","美颜自拍","支持国产机(13)
分辨率高(10)
后盖很漂亮(9)
照相不错(8)
系统流畅(8)
屏幕大(7)
通话质量好(7)
信号稳定(7)
性价比高(6)
外观漂亮(6)","全部评价(58)
好评(55)
中评(1)
差评(2)
有晒单(5)"
936636,"http://item.jd.com/936636.html","HTC801e","1","HTC","Android","2013-12-13 13:30:45",3599,350,"联通3G（WCDMA）,移动2G/联通2G（GSM）","黑色","","4.9-4.1英寸","中国大陆","“0”元购机,1080P全高清屏","外观漂亮(3)
性价比高(3)
屏幕大(2)
通话质量好(1)
音质好(1)
支持国产机(1)
功能齐全(1)
后盖很漂亮(1)
待机时间长(1)
反应快(1)","全部评价(6)
好评(5)
中评(1)
差评(0)
有晒单(1)"
1071118329,"http://item.jd.com/1071118329.html","三盟Q9 GSM老人手机 咖啡色金边","1","","其它","2013-12-27 15:37:50",269,120,"移动2G/联通2G（GSM）","其它","","3.0英寸及以下","","翻盖","外观漂亮(2)
铃声大(2)
比较一般(1)
分辨率高(1)
电池耐用(1)
字体大(1)
音质好(1)
性价比高(1)","全部评价(29)
好评(24)
中评(3)
差评(2)
有晒单(1)"
